age,sex,education,income_respondent,children_in_household,marital_status,feelings_life,has_partner
20.1,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",8,0
56.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
33.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,9,1
63.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,10,1
42.1,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",One child,"Single, never married",8,0
69.4,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Divorced,10,0
60.3,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,Married,8,1
36.3,Female,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",One child,Married,10,1
27.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,9,1
54.7,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,10,1
59.3,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",One child,"Single, never married",10,0
58.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",8,0
55.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,8,1
42,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Married,10,1
44.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",One child,Living common-law,10,1
35.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Living common-law,5,1
30.1,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",One child,Married,7,1
79,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Separated,5,0
20.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",10,0
21.5,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",10,0
16.9,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,"Single, never married",8,0
72.1,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,10,1
70.5,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Divorced,7,0
56.9,Female,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",No child,Married,7,1
35,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,"Single, never married",2,0
55.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,4,1
57.6,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Living common-law,8,1
62.9,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Married,10,1
36.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",Two children,Living common-law,10,1
69.4,Male,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,8,1
33.2,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Married,9,1
63.4,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,"Single, never married",9,0
80,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,10,0
26,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,"Single, never married",6,0
59.2,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Married,10,1
49,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,10,1
66.6,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Divorced,8,0
71,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Widowed,8,0
64.8,Male,University certificate or diploma below the bachelor's level,"Less than $25,000",No child,Widowed,8,0
32.6,Male,University certificate or diploma below the bachelor's level,"$125,000 and more",No child,Living common-law,10,1
59.1,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",One child,Married,10,1
80,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",10,0
20.6,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",10,0
71.7,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,7,0
40.2,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,"Single, never married",7,0
42.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",One child,Married,10,1
19.4,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
16.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
62.5,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Living common-law,10,1
76.8,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,8,1
45.9,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Separated,8,0
48.3,Female,Trade certificate or diploma,"Less than $25,000",No child,"Single, never married",7,0
58.5,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Divorced,8,0
43.8,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Separated,4,0
67.9,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,8,1
25.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",8,0
53.4,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,7,1
63.1,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,6,1
17.9,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,"Single, never married",7,0
69.4,Female,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Separated,8,0
27.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",10,0
67.7,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,"Single, never married",8,0
79.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,9,0
34.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,"Single, never married",8,0
65.3,Male,Trade certificate or diploma,"Less than $25,000",No child,"Single, never married",5,0
57.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,10,1
58,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Divorced,9,0
80,Male,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",No child,Widowed,6,0
39.1,Male,University certificate or diploma below the bachelor's level,"Less than $25,000",No child,Living common-law,7,1
59,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,10,1
62.4,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
36.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Three or more children,Married,10,1
17.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",10,0
16.7,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
56.7,Female,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Married,9,1
36.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,10,1
29.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",6,0
38.1,Male,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,"Single, never married",5,0
22.7,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,8,1
80,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,5,0
27.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,9,1
70.6,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,5,1
18.1,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
70.2,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Widowed,8,0
37.6,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",Two children,Married,7,1
15.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
34.9,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",4,0
48.2,Male,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,"Single, never married",8,0
62.4,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,10,1
70.8,Female,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,Married,8,1
57.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,7,1
34.9,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Three or more children,"Single, never married",7,0
53.2,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",6,0
53,Male,Trade certificate or diploma,"Less than $25,000",No child,"Single, never married",0,0
73.5,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,8,0
71.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Divorced,8,0
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,9,0
68.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",8,0
54.4,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,7,0
33.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",One child,Married,10,1
30.1,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",4,0
36,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",Two children,"Single, never married",8,0
39.3,Male,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,"Single, never married",8,0
52.8,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
63.1,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
36.2,Male,Less than high school diploma or its equivalent,"Less than $25,000",Two children,Married,8,1
73.8,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
71.2,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,8,1
42.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",Two children,Married,10,1
68.2,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Living common-law,8,1
74.9,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Divorced,7,0
66.5,Male,Trade certificate or diploma,"Less than $25,000",No child,"Single, never married",8,0
55.7,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Separated,10,0
38.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Three or more children,Living common-law,10,1
80,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,8,1
80,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,8,0
53.8,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,9,1
57.8,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,6,1
24.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Living common-law,5,1
60.2,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,10,1
27.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Living common-law,7,1
75,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
58.1,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,Married,9,1
53.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,9,1
25.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",8,0
57.5,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Married,10,1
46.4,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,10,1
27.8,Male,Trade certificate or diploma,"$50,000 to $74,999",One child,Living common-law,8,1
67.8,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,6,1
27.7,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,5,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,10,0
39.6,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,Married,10,1
24.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",8,0
63.7,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Divorced,8,0
23.4,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,Living common-law,9,1
76.8,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,8,1
65.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,8,1
65.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,10,1
77.5,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,7,0
42.9,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,"Single, never married",7,0
79.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Widowed,8,0
33.8,Male,Trade certificate or diploma,"$50,000 to $74,999",Two children,Married,8,1
44.6,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Two children,"Single, never married",6,0
59.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",10,0
17.2,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",10,0
37.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",Two children,Married,9,1
18.3,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",7,0
64.1,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Divorced,3,0
31.5,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Living common-law,8,1
32.8,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",One child,Married,10,1
47.3,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,Married,8,1
62.6,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Living common-law,10,1
46.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,7,1
19.7,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",5,0
47.3,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
44.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",Two children,Married,8,1
57.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,9,0
31.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,"Single, never married",8,0
72.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
80,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Widowed,10,0
56.8,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",No child,Married,10,1
77.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Widowed,8,0
25,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",8,0
36.3,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",One child,Divorced,8,0
47.8,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Two children,Living common-law,7,1
80,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Widowed,8,0
36,Female,"University certificate, diploma or degree above the bach...","Less than $25,000",Three or more children,Married,9,1
68.8,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Divorced,9,0
56.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Living common-law,9,1
43.2,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,"Single, never married",7,0
60.1,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",6,0
75.8,Female,Trade certificate or diploma,"Less than $25,000",No child,Married,8,1
26.4,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
50.3,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,Divorced,9,0
15.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,7,0
30.8,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,Married,7,1
61.7,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,7,1
28.8,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",One child,"Single, never married",8,0
16,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",9,0
29.1,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Two children,Married,9,1
32.8,Male,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Two children,Married,8,1
47.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",Two children,Married,9,1
35.1,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",One child,Married,10,1
70,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Divorced,9,0
63.5,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
80,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Widowed,8,0
47.5,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",6,0
80,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Widowed,10,0
49.8,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,7,1
43.6,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",Three or more children,Married,9,1
40.7,Male,Trade certificate or diploma,"$25,000 to $49,999",No child,"Single, never married",4,0
35.7,Male,High school diploma or a high school equivalency certificate,"$100,000 to $ 124,999",No child,"Single, never married",9,0
78.5,Male,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",No child,"Single, never married",7,0
15.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",9,0
49.8,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,"Single, never married",5,0
29.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",8,0
34.6,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,Married,9,1
57.7,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
50.6,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,10,1
27.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",One child,"Single, never married",9,0
25.6,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Three or more children,Married,10,1
72.9,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Divorced,6,0
43.5,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Separated,8,0
38.4,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",Two children,Separated,7,0
70.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,8,1
42.1,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",Two children,Separated,8,0
80,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,6,0
31.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",One child,Married,9,1
45.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Married,9,1
79.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Living common-law,8,1
74.9,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
68.8,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,8,0
64.4,Male,"College, CEGEP or other non-university certificate or di...","$100,000 to $ 124,999",No child,Married,8,1
72.5,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Widowed,10,0
49.7,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",One child,Living common-law,8,1
30.7,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Living common-law,9,1
74,Female,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Divorced,10,0
34.3,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",One child,Divorced,7,0
33.3,Male,Trade certificate or diploma,"$75,000 to $99,999",No child,Married,9,1
80,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
52.3,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
75.3,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Widowed,8,0
37.7,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",6,0
66.1,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
56.9,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",No child,"Single, never married",5,0
43,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",Two children,Married,9,1
71.2,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,9,1
55.2,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Widowed,10,0
55.3,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,9,1
76.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
76.3,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,9,1
54.8,Male,Less than high school diploma or its equivalent,"$75,000 to $99,999",No child,Married,10,1
62.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,Married,8,1
35.4,Female,"University certificate, diploma or degree above the bach...","$75,000 to $99,999",Two children,Married,9,1
48.3,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",Two children,Married,9,1
16.5,Male,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",10,0
49.1,Female,Trade certificate or diploma,"$25,000 to $49,999",Two children,Married,7,1
64.8,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,"Single, never married",8,0
35.8,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,7,1
67.2,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Three or more children,Widowed,4,0
40.9,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$125,000 and more",Two children,Married,10,1
47,Male,"University certificate, diploma or degree above the bach...","Less than $25,000",No child,Married,8,1
77.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Living common-law,10,1
49.6,Male,Trade certificate or diploma,"Less than $25,000",Two children,Living common-law,10,1
28.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",7,0
32.3,Female,Less than high school diploma or its equivalent,"$25,000 to $49,999",Two children,Living common-law,10,1
62.3,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Divorced,8,0
55.3,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,Married,9,1
56.3,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Married,3,1
43.3,Female,Trade certificate or diploma,"$25,000 to $49,999",No child,Living common-law,10,1
61.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,8,1
80,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,5,1
41.8,Female,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Two children,Living common-law,8,1
15.6,Female,Less than high school diploma or its equivalent,"Less than $25,000",One child,"Single, never married",4,0
49.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",One child,Married,8,1
37.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",Two children,Married,8,1
43.4,Male,Trade certificate or diploma,"$50,000 to $74,999",No child,"Single, never married",10,0
20.6,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",5,0
34.8,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Married,8,1
70.5,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,Married,10,1
71.9,Male,"University certificate, diploma or degree above the bach...","$125,000 and more",No child,Separated,10,0
40.2,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",One child,Divorced,10,0
70,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,6,1
79,Male,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Living common-law,7,1
46.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,10,1
31.5,Male,"College, CEGEP or other non-university certificate or di...","$50,000 to $74,999",No child,"Single, never married",7,0
37.9,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Living common-law,8,1
21.4,Male,Less than high school diploma or its equivalent,"$50,000 to $74,999",No child,"Single, never married",10,0
32,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",One child,Married,8,1
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Widowed,9,0
56.2,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,10,1
66.1,Male,University certificate or diploma below the bachelor's level,"$100,000 to $ 124,999",No child,Married,7,1
63.3,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Married,7,1
43.1,Male,"College, CEGEP or other non-university certificate or di...","$125,000 and more",Two children,Married,10,1
42.3,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,10,1
57.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Married,8,1
80,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,10,0
52.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","Less than $25,000",No child,Married,6,1
68.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
33.3,Male,"College, CEGEP or other non-university certificate or di...","$75,000 to $99,999",No child,"Single, never married",8,0
39.4,Male,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",One child,Living common-law,9,1
75.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$100,000 to $ 124,999",No child,Widowed,9,0
51,Female,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",No child,Married,10,1
55.6,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",8,0
64,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Separated,8,0
26.8,Female,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,"Single, never married",8,0
